daily_return,total assets
0.0,100000.0
220.06005859375,96046.35112847222
20.8798828125,92358.09331597222
-115.9200439453125,88555.07545301648
159.84033203125,84946.2446017795
-35.2001953125,81226.73339843749
2041.80029296875,79569.36037868922
333.899658203125,76922.49793836803
2550.7197265625,76593.15546332463
-3046.68017578125,71339.51968044702
1332.80029296875,69750.71099175344
432.520751953125,67542.99171278208
-276.48046875,64709.28024631072
-1461.9794921875,60641.4296739366
219.23876953125,58017.38189019094
-498.900146484375,54708.25500488278
-2552.638671875,49275.17401801213
914.9390869140625,46972.86429850258
260.6396484375,44129.875027126705
-654.35888671875,40402.45606825083
-443.20068359375,36813.488769531206
89.039794921875,33709.97965494787
-765.16064453125,29761.221191406206
-1425.53955078125,25078.659315321136
-783.837890625,20906.952473958292
-2039.501953125,15410.632866753433
-3849.041015625,7932.549587673573
-1067.0372314453125,2923.9411214192296
8472.23876953125,7371.177761501698
-2361.75830078125,1623.1972384982291
-248.40087890625,-2183.354627821216
-1340.439697265625,-7099.425374348997
-2910.08203125,-13676.422878689278
3348.1827392578125,-14187.140190972263
1497.357177734375,-16334.489556206638
555.0994873046875,-19331.123453776083
-1989.3603515625,-24838.734998914973
1869.9814453125,-26603.664767795184
1595.2392578125,-28536.64108615456
-1978.078857421875,-33954.311116536504
-2476.8017578125,-39977.77954101567
62.32080078125,-43592.84549967453
528.36328125,-46738.660047743106
1575.515380859375,-48810.76455349397
2072.404296875,-50308.62925889762
2247.29736328125,-51532.16735839848
-5201.677978515625,-60099.252034505254
-2976.984130859375,-66680.36721462678
10933.44140625,-59484.77482096359
-4029.759521484375,-66771.51440429692
-1348.9990234375,-71551.11124674484
710.93701171875,-74327.72979058164
-1132.55517578125,-78918.41175672748
-281.963623046875,-82704.4819742839
778.682373046875,-85441.13745117192
169.3975830078125,-88756.63540310334
-462.560546875,-92697.5893554688
1797.60546875,-90899.9838867188
3400.318359375,-87499.6655273438
7744.7958984375,-79754.8696289063
4309.7646484375,-75445.1049804688
-1005.7646484375,-76450.8696289063
209.439453125,-76241.4301757813
992.3251953125,-75249.1049804688
2290.4013671875,-72958.7036132813
5205.7578125,-67752.9458007813
-6356.0,-74108.9458007813
1239.8408203125,-72869.1049804688
3840.4775390625,-69028.6274414063
-1079.681640625,-70108.3090820313
-36.955078125,-70145.2641601563
399.833984375,-69745.4301757813
7491.681640625,-62253.748535156294
-2018.2353515625,-64271.983886718794
-3501.12109375,-67773.1049804688
-44.802734375,-67817.9077148438
6664.0,-61153.907714843794
852.318359375,-60301.589355468794
-4925.7578125,-65227.347167968794
439.0380859375,-64788.309082031294
3305.12109375,-61483.187988281294
-1831.197265625,-63314.385253906294
651.8408203125,-62662.544433593794
-12092.6435546875,-74755.1879882813
109.7578125,-74645.4301757813
142.2421875,-74503.1879882813
184.802734375,-74318.3852539063
3887.515625,-70430.8696289063
1310.4013671875,-69120.4682617188
-2185.12109375,-71305.5893554688
1027.044921875,-70278.5444335938
-707.8408203125,-70986.3852539063
225.12109375,-70761.2641601563
-676.484375,-71437.7485351563
1046.0830078125,-70391.6655273438
-819.8408203125,-71211.5063476563
561.12109375,-70650.3852539063
978.5439453125,-69671.8413085938
844.59375,-68827.2475585938
553.724609375,-68273.5229492188
2365.2138671875,-65908.3090820313
1935.36328125,-63972.945800781294
722.4013671875,-63250.544433593794
422.0166015625,-62828.527832031294
-2479.681640625,-65308.209472656294
-56.560546875,-65364.770019531294
346.076171875,-65018.693847656294
12273.857421875,-52744.836425781294
-2735.82080078125,-55480.657226562544
503.32666015625,-54977.330566406294
3460.6865234374936,-51516.6440429688
366.46435546875637,-51150.179687500044
-2393.88720703125,-53544.066894531294
4618.318359375,-48925.748535156294
-848.73291015625,-49774.481445312544
-314.49755859375,-50088.979003906294
-1610.67333984375,-51699.652343750044
157.6982421875,-51541.954101562544
1240.5107421875,-50301.443359375044
-410.25537109375,-50711.698730468794
1160.43115234375,-49551.267578125044
8685.4892578125,-40865.778320312544
-6246.3515625,-47112.129882812544
-18.9287109375,-47131.058593750044
789.93701171875,-46341.121582031294
-5009.087890625,-51350.209472656294
-6361.4892578125,-57711.698730468794
-1322.6103515625,-59034.309082031294
3520.384765625,-55513.924316406294
1827.61865234375,-53686.305664062544
-2455.0415039062564,-56141.3471679688
380.46435546875637,-55760.882812500044
268.23876953124363,-55492.6440429688
879.087890625,-54613.5561523438
-378.44775390624363,-54992.003906250044
-1026.142578125,-56018.146484375044
4369.791015625,-51648.355468750044
318.97509765625,-51329.380371093794
2487.6318359375,-48841.748535156294
-436.23876953125,-49277.987304687544
-775.4892578125,-50053.476562500044
-48.8291015625,-50102.305664062544
-1132.88232421875,-51235.187988281294
938.8955078125,-50296.292480468794
1300.88232421875,-48995.410156250044
152.20556640624363,-48843.2045898438
327.154296875,-48516.0502929688
506.23876953125637,-48009.811523437544
-1104.208984375,-49114.020507812544
-150.97509765625,-49264.995605468794
-1040.703125,-50305.698730468794
-556.86572265625,-50862.564453125044
1741.26708984375,-49121.297363281294
-288.51416015625,-49409.811523437544
88.59375,-49321.217773437544
-369.71142578125637,-49690.9291992188
-367.36328124999363,-50058.292480468794
-90.27197265625,-50148.564453125044
-94.64013671875637,-50243.2045898438
295.56884765625637,-49947.635742187544
9.296875,-49938.338867187544
